"","Subject","RT_Seconds","Condition","Response"
"672",811,0.654,"Incongruent",1
"673",811,0.661,"Incongruent",1
"674",811,0.499,"Incongruent",1
"675",811,0.643,"Incongruent",1
"676",811,0.526,"Incongruent",1
"677",811,0.485,"Incongruent",1
"678",811,0.591,"Incongruent",1
"679",811,0.518,"Incongruent",1
"680",811,1.169,"Incongruent",1
"681",811,0.553,"Incongruent",1
"682",811,0.467,"Incongruent",1
"683",811,0.553,"Incongruent",1
"684",811,0.645,"Incongruent",1
"685",811,1.1324,"Incongruent",0
"686",811,0.88,"Incongruent",1
"687",811,0.621,"Incongruent",1
"688",811,0.785,"Incongruent",1
"689",811,0.586,"Incongruent",1
"690",811,0.564,"Incongruent",1
"691",811,0.54,"Incongruent",1
"692",811,0.71,"Incongruent",1
"693",811,0.753,"Incongruent",1
"694",811,0.605,"Incongruent",1
"695",811,0.541,"Incongruent",1
"696",811,0.54,"Incongruent",1
"697",811,0.54,"Incongruent",1
"698",811,0.465,"Incongruent",1
"699",811,0.58,"Incongruent",1
"700",811,0.524,"Incongruent",1
"701",811,0.515,"Incongruent",1
"702",811,0.713,"Incongruent",1
"703",811,0.513,"Incongruent",1
"704",811,0.627,"Incongruent",1
"705",811,0.44,"Incongruent",1
"706",811,0.56,"Incongruent",1
"707",811,0.445,"Incongruent",1
"708",811,0.648,"Incongruent",1
"709",811,0.546,"Incongruent",1
"710",811,0.521,"Incongruent",1
"711",811,0.465,"Incongruent",1
"712",811,0.594,"Incongruent",1
"713",811,0.567,"Incongruent",1
"714",811,0.75994,"Incongruent",0
"715",811,0.813,"Incongruent",1
"716",811,0.624,"Incongruent",1
"717",811,0.929,"Congruent",1
"718",811,0.483,"Congruent",1
"719",811,0.629,"Congruent",1
"720",811,0.815,"Congruent",1
"721",811,0.718,"Congruent",1
"722",811,0.578,"Congruent",1
"723",811,1.174,"Congruent",1
"724",811,0.464,"Congruent",1
"725",811,0.526,"Congruent",1
"726",811,0.746,"Congruent",1
"727",811,0.703,"Congruent",1
"728",811,0.657,"Congruent",1
"729",811,1.088,"Congruent",1
"730",811,0.549,"Congruent",1
"731",811,0.735,"Congruent",1
"732",811,0.632,"Congruent",1
"733",811,0.653,"Congruent",1
"734",811,0.887,"Congruent",1
"735",811,0.459,"Congruent",1
"736",811,0.621,"Congruent",1
"737",811,1.07388,"Congruent",0
"738",811,0.669,"Congruent",1
"739",811,0.768,"Congruent",1
"740",811,0.438,"Congruent",1
"741",811,0.859,"Congruent",1
"742",811,0.749,"Congruent",1
"743",811,0.508,"Congruent",1
"744",811,0.724,"Congruent",1
"745",811,0.564,"Congruent",1
"746",811,0.626,"Congruent",1
"747",811,0.545,"Congruent",1
"748",811,0.537,"Congruent",1
"749",811,0.607,"Congruent",1
"750",811,0.556,"Congruent",1
"751",811,0.591,"Congruent",1
"752",811,0.586,"Congruent",1
"753",811,0.808,"Congruent",1
"754",811,0.798,"Congruent",1
"755",811,0.61,"Congruent",1
"756",811,0.705,"Congruent",1
"757",811,1.774,"Congruent",1
"758",811,0.966,"Congruent",1
"759",811,1.075,"Congruent",1
"760",811,0.689,"Congruent",1
"761",811,0.654,"Congruent",1
"762",811,0.672,"Congruent",1
"763",811,1.427,"Congruent",1
"764",811,0.579,"Congruent",1
"765",815,0.958,"Incongruent",1
"766",815,0.788,"Incongruent",1
"767",815,1.285,"Incongruent",1
"768",815,0.839,"Incongruent",1
"769",815,0.67,"Incongruent",1
"770",815,0.732,"Incongruent",1
"771",815,1.102,"Incongruent",1
"772",815,1.01,"Incongruent",1
"773",815,1.50475,"Incongruent",0
"774",815,1.183,"Incongruent",1
"775",815,0.654,"Incongruent",1
"776",815,0.88,"Incongruent",1
"777",815,0.666,"Incongruent",1
"778",815,0.987,"Incongruent",1
"779",815,1.50475,"Incongruent",0
"780",815,1.918,"Incongruent",1
"781",815,0.705,"Incongruent",1
"782",815,0.934,"Incongruent",1
"783",815,0.625,"Incongruent",1
"784",815,0.693,"Incongruent",1
"785",815,1.50475,"Incongruent",0
"786",815,0.997,"Incongruent",1
"787",815,0.651,"Incongruent",1
"788",815,0.753,"Incongruent",1
"789",815,1.144,"Incongruent",1
